Title,Author,Year
Naruto vol 28,Masashi Kishimoto,First published in 2003
Wet Magic,Edith Nesbit,First published in 1937
"The Shadow Rising: The Wheel of Time, Book 4",Robert Jordan,First published in 1992
Lilac Fairy Book,Andrew Lang,First published in 1910
Barchester Towers,Anthony Trollope,First published in 1857
The  patchwork girl of Oz,L. Frank Baum,First published in 1913
The Haunted Man and the Ghost's Bargain,Charles Dickens,First published in 1848
The Long Dark Tea-Time of the Soul,Douglas Adams,First published in 1988
Peter Pan in Kensington gardens,J. M. Barrie,First published in 1906
Contes choisis,Guy de Maupassant,First published in 1882
Daughter of Smoke and Bone,Laini Taylor,First published in 2001
Six of Crows,Leigh Bardugo,First published in 2001
Fragile Things,Neil Gaiman,First published in 2006
Gregor the Overlander,Suzanne Collins,First published in 2003
"Dragons of Autumn Twilight: Dragonlance Chronicles, Volume I",Margaret Weis,First published in 1984
"The princess bride: S. Morgenstern's classic tale of true love and high adventure : the ""good parts"" version, abridged",William Goldman,First published in 1973
Thief of Time,Terry Pratchett,First published in 2001
Puck of Pook's Hill,Rudyard Kipling,First published in 1906
"Glinda of Oz: in which are related the exciting experiences of Princess Ozma of Oz, and Dorothy, in their hazardous journey to the home of the Flatheads, and to the Magic Isle of the Skeezers, and how they were rescued from dire peril by the sorcery of Glinda the Good",L. Frank Baum,First published in 1920
Rip Van Winkle: a legend of the Kaatskill mountains ...,Washington Irving,First published in 1850
InuYasha. vol 33,Rumiko Takahashi,First published in 1998
Sky Island: being the further exciting adventures of Trot and Cap'n Bill after their visit to the sea fairies,L. Frank Baum,First published in 1912
Maximum Ride: The Angel Experiment,James Patterson,First published in 2001
"The Path of Daggers: The Wheel of Time, Book 8",Robert Jordan,First published in 1998
My Secret Garden: Women's Sexual Fantasies,Nancy Friday,First published in 1973
Eyre Affair: a novel,Jasper Fforde,First published in 2001
"Winter's Heart (The Wheel of Time, Book 9)",Robert Jordan,First published in 2000
Skulduggery Pleasant,Derek Landy,First published in 2006
The Invisible Life of Addie Larue,V. E. Schwab,First published in 2015
The Amulet of Samarkand,Jonathan Stroud,First published in 2003
"Lord of Chaos: The Wheel of Time, Book 6",Robert Jordan,First published in 1994
The Mark of Athena: The Heroes of Olympus,Rick Riordan,First published in 2011
Tin Woodman of Oz,L. Frank Baum,First published in 1918
Going postal,Terry Pratchett,First published in 2004
Howl's moving castle,Diana Wynne Jones,First published in 1986
Circe,Madeline Miller,First published in 1900
Ultimate Spider-Man.,Brian Michael Bendis,First published in 2001
The Wood Beyond the World,William Morris,First published in 1894
Knife of Dreams: Limited Edition - Leather Bound (Wheel of Time),Robert Jordan,First published in 2005
Quidditch Through The Ages,J. K. Rowling,First published in 2001
"Stone of Tears (Sword of Truth, Book 2)",Terry Goodkind,First published in 1995
The Sirens of Titan,Kurt Vonnegut,First published in 1959
Eric,Terry Pratchett,First published in 1990
Night Watch,Terry Pratchett,First published in 2002
Atlantis found,Clive Cussler,First published in 1999
Fox in socks,Dr. Seuss,First published in 1965
The Last Wish,Andrzej Sapkowski,First published in 1993
The Blue Sword,Robin McKinley,First published in 1982
The Little Mermaid (Well Loved Tales),Hans Christian Andersen,First published in 1935
Assassin's apprentice,Robin Hobb,First published in 1995
Wifey,Judy Blume,First published in 1978
Beauty,Robin McKinley,First published in 1978
Dragon rider,Cornelia Funke,First published in 2000
I Shall Wear Midnight,Terry Pratchett,First published in 2010
Dragonsinger,Anne McCaffrey,First published in 1977
Dragondrums,Anne McCaffrey,First published in 1979
The Witching Hour,Anne Rice,First published in 1990
Night Circus,Erin Morgenstern,First published in 2011
Shadow and Bone,Leigh Bardugo,First published in 2012
The Hero of Ages: Book Three of Mistborn,Brandon Sanderson,First published in 2008
Making Money,Terry Pratchett,First published in 2007
Inkspell,Cornelia Funke,First published in 2005
Witch & Wizard,James Patterson,First published in 1999
Pawn of Prophecy: Book One of The Belgariad,David Eddings,First published in 1982
Heroes of Olympus: The Son of Neptune,Rick Riordan,First published in 2011
The house of Hades,Rick Riordan,First published in 1223
Gardens of the moon,Steven Erikson,First published in 1999
The Way of Kings,Brandon Sanderson,First published in 2010
Kindred,Octavia E. Butler,First published in 1979
The Year of the Flood,Margaret Atwood,First published in 2009
The Snowman,Raymond Briggs,First published in 1978
A Dance With Dragons,George R. R. Martin,First published in 2008
Rising Storm,Erin Hunter,First published in 2004
The Wind Through the Keyhole,Stephen King,First published in 1925
The Borrowers,Mary Norton,First published in 1952
A wild sheep chase,村上春樹,First published in 1982
The Rowan,Anne McCaffrey,First published in 1990
A Strange Manuscript Found in a Copper Cylinder,James De Mille,First published in 1888
Let's Get Invisible!: Goosebumps Presents TV Book #11,Robert Lawrence Stine,First published in 1993
The Wind-Up Bird Chronicle,村上春樹,First published in 1997
Grendel,John Gardner,First published in 1971
The Hero and the Crown,Robin McKinley,First published in 1984
Nightfall,Isaac Asimov,First published in 1969
A Court of Thorns and Roses,Sarah J. Maas,First published in 2015
Four: A Divergent Collection,Veronica Roth,First published in 2001
Hyperion,Dan Simmons,First published in 1989
A Spell for Chameleon,Piers Anthony,First published in 1977
The pink fairy book,Andrew Lang,First published in 1897
The Little White Horse,Elizabeth Goudge,First published in 1920
"New Spring: Wheel of Time, Book 0",Robert Jordan,First published in 2004
Capture (Guardians Of Ga'hoole),Kathryn Lasky,First published in 1987
The Wise Man’s Fear,Patrick Rothfuss,First published in 2011
The Happy Prince and Other Stories,Oscar Wilde,First published in 1888
The Grey Fairy Book,Andrew Lang,First published in 1900
The Alloy of Law: a Mistborn novel,Brandon Sanderson,First published in 2001
Saving the world,James Patterson,First published in 1998
The Invasion,Katherine Applegate,First published in 1996
The Heroes of Olympus: Book Five: The Blood of Olympus,Rick Riordan,First published in 2001
Animal Farm and 1984,George Orwell,First published in 1978
Adventures of Telemachus,François de Salignac de La Mothe-Fénelon,First published in 1699
Monkey Puzzle,Julia Donaldson,First published in 2000
The cat in the hat comes back,Dr. Seuss,First published in 1958
"Demon Slayer: Kimetsu no Yaiba, Vol. 21",Koyoharu Gotōge,First published in 2018
"Many Waters (A Companion to ""A Wrinkle in Time"")",Madeleine L'Engle,First published in 1986
Fire and Ice,Erin Hunter,First published in 2003
Throne of Glass,Sarah J. Maas,First published in 2012
A Court of Mist and Fury,Sarah J. Maas,First published in 2014
Silverwing,Kenneth Oppel,First published in 1997
Smoke and mirrors: short fictions and illusions,Neil Gaiman,First published in 1998
The Mists of Avalon,Marion Zimmer Bradley,First published in 1979
Elric of Melniboné: Book One of The Elric Saga,Michael Moorcock,First published in 1972
Magician: Master (Riftwar Saga),Raymond E. Feist,First published in 1982
The Wolves of Willoughby Chase: Wolves #1,Joan Aiken,First published in 1911
The Throne of Fire,Rick Riordan,First published in 2011
Deep trouble,Robert Lawrence Stine,First published in 1994
Magnus Chase and the Sword of Summer,Rick Riordan,First published in 2015
The woman who rides like a man,Tamora Pierce,First published in 1986
Czas pogardy,Andrzej Sapkowski,First published in 1995
The Serpent's Shadow,Rick Riordan,First published in 2012
Till We Have Faces: A Myth Retold,C.S. Lewis,First published in 1956
Mossflower: Redwall #2,Brian Jacques,First published in 1988
Castle in the Air,Diana Wynne Jones,First published in 1990
The Book of Lost Tales: Part I,J.R.R. Tolkien,First published in 1983
Tom Sawyer Abroad,Mark Twain,First published in 1894
The Hidden Oracle,Rick Riordan,First published in 2014
Heir of Fire,Sarah J. Maas,First published in 2014
Sojourn,R. A. Salvatore,First published in 1991
Dangerous Path,Erin Hunter,First published in 2004
Scary Stories to Tell in the Dark,Alvin Schwartz,First published in 1981
Norse Mythology,Neil Gaiman,First published in 2016
One Fish Two Fish Red Fish Blue Fish (Beginner Books(R)),Dr. Seuss,First published in 1960
Princess Academy: Princess Academy #1,Shannon Hale,First published in 2005
The thief of always,Clive Barker,First published in 1992
Forest of Secrets,Erin Hunter,First published in 2003
Red Rising,Pierce Brown,First published in 2014
In the Night Kitchen,Maurice Sendak,First published in 1889
The Shadow of the Torturer,"Wolfe, Gene.",First published in 1980
Storm Front,Jim Butcher,First published in 1997
Taltos: tales of the Mayfair witches,Anne Rice,First published in 1994
The player of games,Iain M. Banks,First published in 1988
Wild magic,Tamora Pierce,First published in 1992
Grimm Warning,Chris Colfer,First published in 2014
Tuck everlasting,Natalie Babbitt,First published in 1975
Ruin and Rising,Leigh Bardugo,First published in 2014
The Testaments: A Novel,Margaret Atwood,First published in 2019
His Dark Materials (omnibus),Philip Pullman,First published in 2000
Keeper of the Lost Cities: Keeper of the Lost Cities #1,Shannon Messenger,First published in 2012
The school for good and evil,Soman Chainani,First published in 2007
King of Shadows,Susan Cooper,First published in 1999
The orange fairy book.,Andrew Lang,First published in 1906
Caraval,Stephanie Garber,First published in 2000
"Harry and the purple crayon: animals, animals, animals!",Crockett Johnson,First published in 1955
"Tarzan, the untamed",Edgar Rice Burroughs,First published in 1920
A Voyage to Arcturus,David Lindsay,First published in 1920
Jabberwocky,Lewis Carroll,First published in 1881
Words of Radiance,Brandon Sanderson,First published in 2012
Nine princes in Amber,Roger Zelazny,First published in 1970
Breath of Snow and Ashes,Diana Gabaldon,First published in 1992
A Swiftly Tilting Planet,Madeleine L'Engle,First published in 1978
Daphnis & Chloe,Longus,First published in 1717
Secret Garden,Francis Hodgson Burnett,First published in 1911
Abarat,Clive Barker,First published in 2002
Ruby: The Red Fairy,Daisy Meadows,First published in 2003
