Title,Author,Year
"Naoki Urasawa's Monster, Vol. 1: Herr Dr. Tenma",Naoki Urasawa,First published in 2006
The Courageous Princess,Rod Espinosa,First published in 1998
Ranma 1/2,Rumiko Takahashi,First published in 1993
More leaves from the Inn of the Last Home,Margaret Weis,First published in 1994
The Golden Barge: A Fable,Michael Moorcock,First published in 1979
A Sorcerer's Treason,Sarah Zettel,First published in 2002
"Fullmetal Alchemist, Vol. 13",荒川 弘,First published in 2006
The Tiara Club at Ruby Mansions 4: Princess Olivia and the Velvet Cape (The Tiara Club),Vivian French,First published in 2008
Rebels of Gor,John Norman,First published in 2013
Time of the Great Freeze,Robert Silverberg,First published in 1964
"Children of Amarid (The Lon Tobyn Chronicle, Book 1)",David B. Coe,First published in 1998
Witches of East End,Melissa De La Cruz,First published in 2013
New Watch : (Night Watch 5),Sergeĭ Lukʹi͡anenko,First published in 2013
Things we didn't see coming,Steven K. Amsterdam,First published in 2009
Wit'ch Fire,James Clemens,First published in 1998
Fly by night,Randall Jarrell,First published in 1976
Ancient Sorceries and Other Stories,Algernon Blackwood,First published in 1906
"Darkness Descending (World at War, Book 2)",Harry Turtledove,First published in 2000
The feline wizard,Christopher Stasheff,First published in 2000
Seven Wonders Journals: The Select and the Orphan,Peter Lerangis,First published in 2014
Wallet of Kai Lung,Ernest Bramah,First published in 2014
War Against the Assholes,Sam Munson,First published in 2015
Girl with the Iron Touch,Kady Cross,First published in 2013
The fire chronicle: Book Two: The Books of Beginning,John Stephens,First published in 2012
Iron hearted Violet,Kelly Regan Barnhill,First published in 2012
"No game, no life",Yuu Kamiya,First published in 2014
Mothership: Tales from Afrofuturism and Beyond,Bill Campbell,First published in 2013
The Dragon Factory,Jonathan Maberry,First published in 2010
Syren,Angie Sage,First published in 2011
The shadow thieves,Anne Ursu,First published in 2006
Once upon a time,John Prater,First published in 1993
Lure of the dead,Joseph Delaney,First published in 2012
"Dragon Ball Z. 3-in-1 Book 4: (Vols 10, 11 & 12)",Akira Toriyama,First published in 2009
Alcestis,Katharine Beutner,First published in 2010
The Never-Ending Sacrifice: Star Trek: Deep Space Nine,Una McCormack,First published in 2009
Pierre et Gilles.,Pierre.,First published in 1991
Rat queens: The far reaching tentacles of N'rygoth,Kurtis J. Wiebe,First published in 2015
The Psychology of Harry Potter: An Unauthorized Examination of the Boy Who Lived (Psychology of Popular Culture series),Neil Mulholland,First published in 2007
The mermaid's child,Jo Baker,First published in 2004
Prince of the Godborn,Geraldine Harris,First published in 1982
The covenant rising,Stan Nicholls,First published in 2005
The reluctant swordsman ...,Dave Duncan,First published in 1990
Prince Ombra,Roderick MacLeish,First published in 1982
New magics: an anthology of today's fantasy,Patrick Nielsen Hayden,First published in 2004
Legends 2: Short Novels by the Masters of Modern Fantasy,Anne McCaffrey,First published in 1999
"Destined (Wings Series, Book 4)",Aprilynne Pike,First published in 2012
Star cursed,Jessica Spotswood,First published in 2013
Gargantua and Pantagruel,François Rabelais,First published in 1952
I Was a Teenage Fairy,Francesca Lia Block,First published in 2000
Jojo's bizarre adventure: Stardust crusaders,Hirohiko Araki,First published in 2005
Never Never,Brianna Shrum,First published in 2015
Parables Of A Province,Gilbert Parker,First published in 2004
"Gracias: One piece, 56",Eiichiro Oda,First published in 2009
Halo,Alexandra Adornetto,First published in 2010
A hard day's knight,Simon R. Green,First published in 2011
Third grave dead ahead,Darynda Jones,First published in 2012
"The Hobbit, the desolation of Smaug: official movie guide",Brian Sibley,First published in 2013
"Victory of Eagles (Temeraire, Book 5)",Naomi Novik,First published in 2008
Conan the Freebooter,L. Sprague De Camp,First published in 1968
Drylongso,Virginia Hamilton,First published in 1992
Mean Streets,Jim Butcher,First published in 2009
The road to The dark tower: exploring Stephen King's magnum opus,Bev Vincent,First published in 2004
Secrets Of Droon #25: The Riddle Of Zorfendorf Castle (Secrets Of Droon),Tony Abbott,First published in 2005
Vanishing Throne,Elizabeth May,First published in 2016
The Urban Fantasy Anthology,Peter S. Beagle,First published in 2011
Apprentice to the Villain,Hannah Nicole Maehrer,First published in 2024
Exile's Valor (Heralds of Valdemar - Prequel #2): a novel of Valdemar,Mercedes Lackey,First published in 2003
Hikaru No Go Vol. 11 (Hikaru No Go (Graphic Novels)),Yumi Hotta,First published in 2004
"Cloak: Section 31, Book One: Star Trek",S. D. Perry,First published in 2001
A Guide to Middle Earth,Robert Foster,First published in 1971
The Maestro,Tim Wynne-Jones,First published in 1995
Carly The Schoolfriend Fairy,Daisy Meadows,First published in 2013
"Pokemon Adventures
            
                Pokemon Adventures Diamond and Pearl Platinum",Hidenori Kusaka,First published in 2012
One piece: Operation Dressrosa SOP,Eiichiro Oda,First published in 2014
Hamstermagic,Holly Webb,First published in 2009
Gregor the Overlander Collection: Books 1-5,Suzanne Collins,First published in 2009
Poppy the piano fairy,Daisy Meadows,First published in 2008
Etched in bone: a novel of the others,Anne Bishop,First published in 2017
The artificial kingdom: a treasury of the kitsch experience,Celeste Olalquiaga,First published in 1998
Irish magic II: four unforgettable novellas of love and enchantment,Morgan Llywelyn,First published in 1997
Gothikana,RuNyx,First published in 2023
Lagoon,Nnedi Okorafor,First published in 2015
The Magician's Land,Lev Grossman,First published in 2014
Sea Horses: Gathering Storm,Louise Cooper,First published in 2003
"G.I. Joe: A Real American Hero,  Vol. 1 (GI Joe) (Marvel)",Larry Hama,First published in 1987
"Warriors : Ravenpaw's Path: Shattered Peace, a Clan in Need, the Heart of a Warrior",Erin Hunter,First published in 2018
The Fire Thief: Fire Thief - 1,Terry Deary,First published in 2005
The trouble with magic,Patricia Rice,First published in 2003
The Memory Theater: A Novel,Karin Tidbeck,First published in 2021
Broken Blade,Kelly McCullough,First published in 2012
The Ghost of Shadow Vale,Jonathan Stroud,First published in 2009
Storm,Brigid Kemmerer,First published in 2012
The sea egg,Lucy M. Boston,First published in 1967
Mercurius,Patrick Harpur,First published in 1990
Starfollowers of Coramonde,Brian Daley,First published in 1979
The Sword Of Welleran And Other Stories,Lord Dunsany,First published in 1908
Children of Morrow,H. M. (Helen Mary) Hoover,First published in 1973
Slaughterhouse-five ; The sirens of Titan ; Player-piano ; cat's cradle ; Breakfast of champions ; Mother night,Kurt Vonnegut,First published in 1980
Dreams and Shadows: A Novel,C. Robert Cargill,First published in 2013
Zalman King's red shoe diaries.,Zalman King,First published in 2005
Dragonlance Adventures,Tracy Hickman,First published in 1987
Darius: Black Dagger Brotherhood Bk 0. 5,J. R. Ward,First published in 2022
Fair Game,Patricia Briggs,First published in 2012
Quanta: a handbook of concepts,P. W. Atkins,First published in 1974
The folklore of fairy-tale.,Macleod Yearsley,First published in 1924
Children of earth and sky,Guy Gavriel Kay,First published in 2016
Married with Zombies,Jesse Petersen,First published in 2010
"Sleepers, Wake",Paul Samuel Jacobs,First published in 1991
Orbitsville,Bob Shaw,First published in 1975
The Land of Far-beyond,Enid Blyton,First published in 1942
Prisoner of Night,J. R. Ward,First published in 2020
From Doctor To Daddy,Karen Rose Smith,1 edition
The last summer of her other life,Jean Reynolds Page,First published in 2009
The Queen's Poisoner (Kingfountain),Jeff Wheeler,First published in 2016
Stalking darkness,Lynn Flewelling,First published in 1997
Doctor Who : The Eighth Doctor: A Matter of Life and Death,George Mann,First published in 2016
The dead-tossed waves,Carrie Ryan,First published in 2010
The midnight game,Johnny Ray Barnes,First published in 1995
Elegy,Amanda Hocking,First published in 2013
Masked City,Genevieve Cogman,First published in 2015
A song for Ella Grey,David Almond,First published in 2014
Men and cartoons: stories,Jonathan Lethem,First published in 2004
St. Lucy's Home for Girls Raised by Wolves,Karen Russell,First published in 2007
The book of wonders,Jasmine Richards,First published in 2012
Dragonsworn (The Dark-Hunter World),Sherrilyn Kenyon,First published in 2017
Of Neptune,Anna Banks,First published in 2014
C.S. Lewis: His Literary Achievement,C. N. Manlove,First published in 1987
Black spring,Alison Croggon,First published in 2012
Clockwork Fables A Collection Of Steampunk Fairy Tales,Stephen L. Antczak,First published in 2013
Coyote blue,Christopher Moore,First published in 1994
The nine pound hammer,John Claude Bemis,First published in 2009
Circus of fear,Rose Estes,First published in 1983
"Wrath of Ashar: The First Book of The Kingdoms (The Book of the Kingdoms, Book 1)",Angus Wells,First published in 1988
Ill wind,Rachel Caine,First published in 2003
Immortal Crown,Richelle Mead,First published in 2014
Spy glass,Maria V. Snyder,First published in 2010
A short history of fantasy,Farah Mendlesohn,First published in 2009
Kellanved's Reach: Path to Ascendancy Book 3,Ian C. Esslemont,First published in 2019
"Child of the Prophecy (The Sevenwaters Trilogy, Book 3)",Juliet Marillier,First published in 2003
Hinterland,James Clemens,First published in 2006
An Enemy Reborn (Realms of Chaos: The Second Book),Michael A. Stackpole,First published in 1998
"Winx Club Vol 4
            
                Winx",Media Viz,First published in 2012
Quest of the Cubs,Kathryn Lasky,First published in 2018
Dr. Xargle's Book of Earth Tiggers (Dr Xargle),Jeanne Willis,First published in 1990
Vampire Stalker,Allison van Diepen,First published in 2011
Nicole The Beach Fairy,Daisy Meadows,First published in 2009
Alias Hook,Lisa Jensen,First published in 2014
Ghost train to New Orleans,Mur Lafferty,First published in 2014
Hang hai wang.: One piece,Eiichiro Oda,First published in 2007
Trupp: a fuzzhead tale,Janell Cannon,First published in 1995
"The Viper: Black Dagger Brotherhood - 24, Black Dagger Brotherhood: Prison Camp - 3",J. R. Ward,First published in 2022
Atlantis quest,Gloria Craw,First published in 2016
"Fire on the Water (Lone Wolf, No. 2)",Joe Dever,First published in 1984
The insider,Ridley Pearson,First published in 2014
By midnight,Mia James,First published in 2010
Bone song,John Meaney,First published in 2007
Rule,Ellen Goodlett,First published in 2018
The Hawley Book of the Dead,Chrysler Szarlan,First published in 2014
The Boy Who Lost Fairyland: Fairyland #4,Catherynne M. Valente,First published in 2015
Legend Has It,Elliott James,First published in 2017
Carmen the cheerleading fairy,Daisy Meadows,First published in 2017
Jason,Laurell K. Hamilton,First published in 2014
"The Legend of Zelda: Twilight Princess, Vol. 6",Akira Himekawa,First published in 2020
Neues aus Anderwelt Nummer 36,Ruth M. Fuchs,First published in 2010
Trouble at Trident Academy,Debbie Dadey,First published in 2012
Slayers: friends and traitors,C. J. Hill,First published in 2011
The Return of the Discontinued Man: The Burton & Swinburne Adventures,Mark Hodder,First published in 2001
Omega City,Diana Peterfreund,First published in 2015
A Murder of Wolves,Jamie Ibson,First published in 2022
Last Dragon King,Leia Stone,First published in 2022
Assassin's Apprentice,Robin Hobb,First published in 2010
Heart of the Raven Prince: A Cinderella Retelling,Tessonja Odette,First published in 2021
The white mists of power,Kristine Kathryn Rusch,First published in 1991
Ichor: Book One of Ichor Series,Trish D.w,First published in 2022
Curse of Ophelia,Nicole Platania,First published in 2023
Last of the Wilds,Trudi Canavan,First published in 2006
Priestess of the White,Trudi Canavan,First published in 2005
Mother of Learning: ARC 2,Domagoj Kurmaic,First published in 2021
Castaways in Lilliput.,Henry Winterfeld (Manfred Michael),First published in 1960
The Sword &the Satchel,Elizabeth H. Boyer,First published in 1980
Lyrec,Gregory Frost,First published in 1984
Skin Game (Dresden Files),Jim Butcher,First published in 2015
The Court of Broken Knives (Empires of Dust),Anna Smith Spark,First published in 2017
"The Saga of Tanya the Evil, Vol. 1: Deus lo Vult",Carlo Zen,First published in 2017
Aliens omnibus: Earth Hive / Nightmare Asylum / The Female War,Steve Perry,First published in 1995
"The sun, the moon, and the stars",Steven Brust,First published in 1988
Fancies and goodnights,John Collier,First published in 1965
Strange wine: fifteen new stories from the nightside of the world,Harlan Ellison,First published in 1978
Doctor Dolittle: Retold from Hugh Lofting,Ellen Miles,First published in 2004
The six,K. B. Hoyle,First published in 2012
Isekai Veteran: Outlander,C. J. Holmes,First published in 2023
War Hour,Lauren Loscig,First published in 2023
QoD4: Nightstone Keep PF PDF,Ed Greenwood,First published in 2017
QoD 4: Pictures at an Exhibition PF Print,Dennis Sustare,First published in 2017
QoD 4: The Covered Bridge SW PoD,Kevin Wright,First published in 2017
Anãrren Gifted: Kaythen War,Christopher Dimond,First published in 2023
Death Rattle,Carter Pugh,First published in 2023
Wrath (The Faithful and the Fallen),John Gwynne,First published in 2016
Spy Glass,Maria V. Snyder,First published in 2010
Courage of Falcons,Holly Lisle,First published in 2000
Ask and the Answer,Patrick Ness,First published in 2010
The Last of the Really Great Whangdoodles,Julie Andrews,First published in 1974
"Fool's Errand (Tawny Man, Book 1)",Robin Hobb,First published in 2002
Dangerous visions: 33 original stories,Harlan Ellison,First published in 2002
"The Best of Tales, Volume One (Dragonlance Anthology)",Margaret Weis,First published in 2000
Redeeming the Lost,Elizabeth Kerner,First published in 2005
Of Sea and Shadow,Will Wight,First published in 2015
Paths of Prophecy: Chronicles of Torgeir Book 1,J. C. Eyler,First published in 2024
Space Knight,Michael-Scott Earle,First published in 2022
Crimson Twilight: A Krewe of Hunters Novella,Heather Graham,First published in 2014
Ashes of the Sun (Magic : the Gathering),Hanovi Braddock,First published in 1996
Songs of the Earth,Elspeth Cooper,First published in 2011
A heroine of the world,Tanith Lee,First published in 1989
Quest for theFallen Star,Piers Anthony,First published in 1998
Overtime,Tom Holt,First published in 1993
Smugglers of Gor,John Norman,First published in 2012
Upon a Burning Throne,Ashok K. Banker,First published in 2019
Mythos Seas: Alarm in the Archipelago,Jeremy Davidson,First published in 2023
The Secret of Spring,Piers Anthony,First published in 2000
Harry Potter : Crochet Wizardry | Crochet Patterns | Harry Potter Crafts: The Official Harry Potter Crochet Pattern Book,Lee Sartori,First published in 2021
The thirteenth scroll,Rebecca Neason,First published in 2001
Unquenchable fire.,Rachel Pollack,First published in 1989
Giant Horse of Oz: 100th Anniversary OZ Collection,Ruth Thompson,First published in 2024
Koschei: The Afterlight,A. A. Farr,First published in 2018
Prince of the Sorrows,Kellen Graves,First published in 2022
Kingdoms and Empires: Dark Rage,D. J. Darcey,First published in 2022
Flight of the Eagles: The Seven Sleepers #1,Gilbert Morris,First published in 1994
Fire-Tongue,Sax Rohmer,First published in 2009
Gods of Pegana,Lord Dunsany,First published in 2011
At a Winter's Fire,Bernard Capes,First published in 2012
Slave of the Lamp,Henry Seton Merriman,First published in 1891
King in Yellow,Robert W. Chambers,First published in 2014
Castle of Dusk and Shadows: Special Edition,Rachel L. Schade,First published in 2023
Not Good for Maidens,Tori Bovalino,First published in 2022
Lost Heir (Wings of Fire #2),Tui T. Sutherland,First published in 2013
Midnight fantasies,Kimberly Raye,First published in 2000
Land of Roar,Jenny McLachlan,First published in 2019
Poison Pages: 10th Anniversary Edition,Michael Dahl,First published in 2008
Nightmare Academy #2: Monster Madness,Dean Lorey,First published in 2008
The Shadowglass,Rin Chupeco,First published in 2019
Midway,Anne Barrett,First published in 1967
"The midnight mayor, or, The inauguration of Matthew Swift",Kate Griffin,First published in 2010
Night of the dragons,Margaret Weis,First published in 2003
Enchanter (Axis Trilogy),Sara Douglass,First published in 1999
Titus Awakes,Maeve Gilmore,First published in 2011
Call Me Stranger,George Lambelle,First published in 2010
The fate of the Tearling: a novel,Erika Johansen,First published in 2016
My Soul to Take,Rachel Vincent,First published in 2011
Angel fire,Andrew M. Greeley,First published in 1988
"Chasing Midnight (The Roaring Twenties Supernaturals Series, Book 1)",Susan Krinard,First published in 2007
Hasan,Piers Anthony,First published in 1977
Torgor the Minotaur,Adam Blade,First published in 2008
The Rincewind Trilogy,Terry Pratchett,First published in 1999
"Magic, the Gathering: the pocket players' guide",Wizards of the Coast,First published in 1995
Tails you Lose,Lisa Smedman,First published in 2001
The Gigantic Beard That Was Evil,Stephen Collins,First published in 2013
Autobiography of a Corpse,Sigizmund Krzhizhanovskiĭ,First published in 2013
Loki,Mike Vasich,First published in 2010
Secret Sacrament,Sherryl Jordan,First published in 2000
The shadow wolf,Bonnie Vanak,First published in 2011
To Say Nothing of the Dog,Connie Willis,First published in 1998
Wildwood Road,Christopher Golden,First published in 2005
The best of  Pokémon adventures,Hidenori Kusaka,First published in 2006
The shadow queen,Bertrice Small,First published in 2009
Sea of Trolls,Nancy Farmer,First published in 2005
The tiger's egg,Jon Berkeley,First published in 2007
Flock,Wendy Delsol,First published in 2012
"Higurashi When They Cry: Festival Accompanying Arc, Vol. 4",Ryukishi07,First published in 2011
Hang hai wang: One piece,Eiichiro Oda,First published in 2006
One piece: Nightmare Luffy,Eiichiro Oda,First published in 2008
"The Nixie's Song: (Beyond The Spiderwick Chronicles, Book 1)",Tony DiTerlizzi,First published in 2007
Next top villain: ever after rebels : a school story,Suzanne Selfors,First published in 2015
Way of the Ninja/Masters of Spinjitzu (Ninjago),Lego,First published in 2012
Styxx,Sherrilyn Kenyon,First published in 2013
"The iron queen: Bookthree, the iron Fey",Julie Kagawa,First published in 2010
The mind and art of Poe's poetry,"Fruit, John Phelps",First published in 1899
Sinner,Sara Douglass,First published in 1997
Podkin One-Ear,Kieran Larwood,First published in 2016
The door in the moon,Catherine Fisher,First published in 2015
Half World,Hiromi Goto,First published in 2010
Evie's fashion book,Tina McLeef,First published in 2017
"Lupin III: World's Most Wanted, Vol. 6",Monkey Punch,First published in 2002
Prince of Persia,A. B. Sina,First published in 2008
The Hob's bargain,Patricia Briggs,First published in 2001
Born of Betrayal (League),Sherrilyn Kenyon,First published in 2016
Just only John.,Jack Kent,First published in 1968
The Cardinal's Blades,Pierre Pevel,First published in 2009
The scorpion king: a novel,Max Allan Collins,First published in 2002
Dragon outcast,E. E. Knight,First published in 2007
Evil for Evil (Engineer Trilogy),K. J. Parker,First published in 2007
The Younger Gods,David Eddings,First published in 2006
The fantasy worlds of Peter Beagle,Peter S. Beagle,First published in 1978
The better mousetrap,Tom Holt,First published in 2008
Tales from Gavagan's bar,L. Sprague De Camp,First published in 1953
The Magician's Diary,C.J. Archer,First published in 2017
Dark Seduction (Silhouette Nocturne),Kathleen Korbel,First published in 2008
The Ruby Princess Runs Away (Jewel Kingdom),Jahnna N. Malcolm,First published in 1997
Midnight blue,Pauline Fisk,First published in 1990
A most sinful proposal,Sara Bennett,First published in 2008
Fullmetal Alchemist: A New Beginning,Makoto Inoue,First published in 2019
Sever,Lauren DeStefano,First published in 2013
Relics,Tim Lebbon,First published in 2017
Lulu the lifeguard fairy,Daisy Meadows,First published in 2015
Ursula K. Le Guin,Harold Bloom,First published in 1986
Cardcaptor Sakura.,Clamp,First published in 2004
Wish Granter,C. J. Redwine,First published in 2017
Tolkien and The Lord of the Rings: a guide to Middle-earth,Colin Duriez,First published in 2001
Son of the shadows,Juliet Marillier,First published in 2001
Death's Daughter,Amber Benson,First published in 2009
Disney Frozen: the essential guide,Barbara Bazaldua,First published in 2014
"Instant Teen: Just Add Nuts, Vol. 2",Haruka Fukushima,First published in 2004
The Descendants,Rico Green,First published in 2015
From time to time: a novel,Jack Finney,First published in 1995
"Ranma 1/2, Vol. 18",Rumiko Takahashi,First published in 2001
The turf cutter's donkey,"Lynch, Patricia",First published in 1934
Survivors #4: the Broken Path,Erin Hunter,First published in 2014
Der Irrtum des grossen Zauberers: Ein phantastischer Roman,Günter Braun,First published in 1972
Spectrum 21: The Best in Contemporary Fantastic Art,John Fleskes,First published in 2014
Journeys through the Earth Kingdom,Michael Teitelbaum,First published in 2010
The Diviner,Melanie Rawn,First published in 1999
Wu zhong de qi huan xiao zhen,Sachiko Kashiwaba,First published in 1975
The lost star,H. M. (Helen Mary) Hoover,First published in 1979
Secrets of the gnomes,Wil Huygen,First published in 1982
Toothiana: A battle is waged,William Joyce,First published in 2012
"Seduction: Tempt, Tease and Tantalize Your Lover",Snow Raven Starborn,First published in 2001
Immortals: the awakening,Joy Nash,First published in 2007
Kirith Kirin,Jim Grimsley,First published in 2000
Citadel,John Ringo,First published in 2011
Rapunzel,Sarah Gibb,First published in 2011
River of Stars,Guy Gavriel Kay,First published in 2013
Hugh Lofting's Travels of Doctor Dolittle.,Al Perkins,First published in 1967
Discord's Apple,Carrie Vaughn,First published in 2010
Clockwork Prince: The Mortal Instruments Prequel: Volume 2 of The Infernal Devices Manga,Cassandra Clare,First published in 2013
A Taste of Magic,Jean Rabe,First published in 2006
Dungeon Master's Guide: Core Rulebook II,Monte Cook,First published in 2000
The deputy's lost and found,Stella Bagwell,First published in 2010
Conan the fearless,Steve Perry,First published in 1986
The enchanted forest,R. G. Austin,First published in 1984
Thief's Cunning,Sarah Ahiers,First published in 2017
The Alton gift,Marion Zimmer Bradley,First published in 2007
Sheer Dynamite,Jennifer Skully,First published in 2006
Met By Moonlight,Rosemary Edghill,First published in 1998
Forever Court (Knights of the Borrowed Dark Book 2),Dave Rudden,First published in 2017
Harry Potter: the character vault,Jody Revenson,First published in 2015
"A beleaguered city: being a narrative of certain recent events in the city of Semur, in the department of the Haute Bourgogne; a story of the seen and the unseen",Margaret Oliphant,First published in 1880
Boundary Lines,Melissa F Olson,First published in 2015
Betty and Veronica's princess storybook,Dan Parent,First published in 2013
"The boy, the bird & the coffin maker",Matilda Woods,First published in 2017
Green Arrow,Judd Winick,First published in 2005
Alice in Wonderland,Martin Powell,First published in 2010
Peter Pan,Michael Johnstone,First published in 1998
Tales of the Witch World 2,Andre Norton,First published in 1988
Blue twilight,Maggie Shayne,First published in 2005
The Nine Lives Of Chloe King The Fallen The Stolen The Chosen,Celia Thomson,First published in 2011
Lucky charm,Carly Phillips,First published in 2008
Winterkill,Kate A. Boorman,First published in 2014
Lord of the fire lands: a tale of the King's Blades,Dave Duncan,First published in 1999
How the marquis got his coat back,Neil Gaiman,First published in 2015
Hobgoblin,John Coyne,First published in 1982
Graveyard Child,M. L. N. Hanover,First published in 2013
Spellbent,Lucy A. Snyder,First published in 2009
User Unfriendly,Vivian Vande Velde,First published in 1991
The heavenward path,Kara Dalkey,First published in 1998
Salon fantastique: fifteen original tales of fantasy,Ellen Datlow,First published in 2006
"The Harsh Cry of the Heron: The Last Tale of the Otori (Tales of the Otori, Book 4)",Lian Hearn,First published in 2006
The Initiate,Louise Cooper,First published in 1985
Into the Dark,Gena Showalter,First published in 2010
Let's draw manga.,Noriko Aster,First published in 2005
Egg Drop Dead,Laura Childs,First published in 2016
"Modern fantasy: the hundred best novels : an English-language selection, 1946-1987",David Pringle,First published in 1988
Hitler victorious,Gregory Benford,First published in 1986
The Dark and Hollow Places,Carrie Ryan,First published in 2011
Tower of the Future: Volume 7 (Tower of the Future),Saki Hiwatari,First published in 2005
Littles Go Exploring,John Peterson,First published in 1984
Battle of Hackham Heath (Ranger's Apprentice: the Early Years Book 2),John Flanagan,First published in 2016
Chronicles of Dragon: Finale,Craig Halloran,First published in 2013
Oasis,Cathy Hapka,First published in 2002
Eye in the Graveyard: 10th Anniversary Edition,Michael Dahl,First published in 2008
"Goodnight Punpun, Vol. 5",Inio Asano,First published in 2017
"The Dragon's Eye (Spirit Animals: Fall of the Beasts, Book 8)",Sarwat Chadda,First published in 2018
Never after,Laurell K. Hamilton,First published in 2009
Sooner or Later Everything Falls into the Sea,Sarah Pinsker,First published in 2019
"Goodnight Punpun, Vol. 4",Inio Asano,First published in 2016
Island of Dragons,Lisa McMann,First published in 2016
Bound by Night,Larissa Ione,First published in 2013
Fallen Angels: The explosive new saga continues....,Stephen Kenson,First published in 2006
Conspirators of Gor,John Norman,First published in 2012
I Am Number Four The Lost Files The Legacies,Neil Kaplan,First published in 2012
Alas de Fuego,Laura Gallego,First published in 2005
Fires of Azeroth (Morgaine Cycle),C. J. Cherryh,First published in 1979
Side Jobs Stories From The Dresden Files,Jim Butcher,First published in 2011
Ye Gods!,Tom Holt,First published in 1992
O principezinho.,Antoine de Saint-Exupéry,First published in 1987
Charon Docks at Daylight,Zoe Reed,First published in 2014
The Greedy Gremlin,Tracey West,First published in 2000
Footprints,Alex Archer,First published in 2009
The chalice and the blade,Glenna McReynolds,First published in 1997
Shades of Doon,Carey Corp,First published in 2015
Destiny the pop star fairy,Daisy Meadsows,First published in 2009
Zoe the Skating Fairy,Daisy Meadows,First published in 2010
Tiger Moon,Antonia Michaelis,First published in 2006
Pendragon's banner,Helen Hollick,First published in 1995
The War of the Lance,Margaret Weis,First published in 1992
The world of Shannara,Terry Brooks,First published in 2001
Sailor Moon Vol. 8,Naoko Takeuchi,First published in 2000
Bungo stray dogs,Kafka Asagiri,First published in 2017
The Whispering Trees (The Thickety),J. A. White,First published in 2015
Blood for Blood,Ryan Graudin,First published in 2016
Court of fives,Kate Elliott,First published in 2015
Voices in the Dark,Catherine Banner,First published in 2009
Dead Man's Steel,Luke Scull,First published in 2016
Prairie Fire (Sequel to the Story of Owen),E. K. Johnston,First published in 2015
Heartless,Gail Carriger,First published in 2011
Brave Story Volume 1 (Brave Story),Miyuki Miyabe,First published in 2003
Batman: Strange Apparitions,Steve Englehart,First published in 1999
William Shakespeare,William Shakespeare,First published in 2000
Marvel Masterworks: Daredevil Volume 1,Stan Lee,First published in 2012
The Camelot chronicles: heroic adventures from the time of King Arthur,Michael Ashley,First published in 1992
Arousal: The Secret Logic of Sexual Fantasies,Michael J. Bader,First published in 2003
Honeymoon in Hell,Fredric Brown,First published in 1958
The joy of sexual fantasy,Andrew Stanway,First published in 1991
Secret Kingdom: My Dreams and Wishes Notebook,Rosie Banks,First published in 2013
Twilight of the Gods: And Other Tales,Richard Garnett,First published in 2009
Bitterblue,Kristin Cashore,First published in 2012
"School for Good and Evil: the Complete 6-Book Collection : (the School for Good and Evil, a World Without Princes, the Last Ever after, Quests for Glory, a Crystal of Time, One True King)",Soman Chainani,First published in 2020
seventh swan: an adventure story,Nicholas Stuart Gray,First published in 1962
Alice in puzzle-land: A Carrollian tale for children under eighty,Raymond M. Smullyan,First published in 1982
Jagannath,Karin Tidbeck,First published in 2012
Chosen Ones,Scarlett Thomas,First published in 2018
Bloom,Nicola Skinner,First published in 2019
Cry of The Icemark,Stuart Hill,First published in 2004
The Colossal Illusion,Agam Anand,First published in 2018
Daughter of Smoke and Bone Trilogy Paperback Gift Set,Laini Taylor,First published in 2014
Gena Showalter the White Rabbit Chronicles Complete Collection: Alice in Zombieland Through the Zombie Glass the Queen of Zombie Hearts a Mad Zombie Party Alice's Adventures in Wonderland,Gena Showalter,First published in 2016
The Extinction Trials: Exile,Susan Wilson,1 edition
Elephantasm,Tanith Lee,First published in 1993
The Spook's Mistake,Joseph Delaney,First published in 2008
The Darkest Fire,Gena Showalter,First published in 2008
Patricia Briggs' Mercy Thompson: Hopcross Jilly,Patricia Briggs,First published in 2015
Wings of Olympus: the Colt of the Clouds,Kallie George,First published in 2019
Fiddlehead,Cherie Priest,First published in 2013
The gauntlet,Karuna Riazi,First published in 2017
Pet shop of horrors.,Matsuri Akino,First published in 2003
Paige The Pantomime Fairy,Daisy Meadows,First published in 2006
Joe Steele,Harry Turtledove,First published in 2003
People of the Book: A Decade of Jewish Science Fiction & Fantasy,Rachel Swirsky,First published in 2010
Fairy Tail: Twin Dragons of Sabertooth,Kyouta Shibano,First published in 2016
Dream-maker's Magic,Sharon Shinn,First published in 2006
THE X-MEN,Kristine Kathryn Rusch,First published in 2000
Queen of the Swords,Michael Moorcock,First published in 1971
The folk of the air,Peter S. Beagle,First published in 1986
Through the dolls' house door,Jane Gardam,First published in 1987
Tyrant Baru Cormorant,Seth Dickinson,First published in 2020
Crossroads and Other Tales of Valdemar (Tales of Valdemar #3),Mercedes Lackey,First published in 2005
Cybermancy,Kelly McCullough,First published in 2007
Beyond the hanging wall,Sara Douglass,First published in 1996
The Vorrh: a novel,B. Catling,First published in 2012
Tales of dungeons and dragons,Peter Haining,First published in 1986
Alice in Wonderland,Landoll,First published in 1998
The very persistent gappers of Frip,George Saunders,First published in 2000
Blood of an Exile,Brian Naslund,First published in 2019
Curse of the Spider King,Wayne Thomas Batson,First published in 2009
Mystic,Jason Denzel,First published in 2015
"Boys Love Manga and Beyond: History, Culture, and Community in Japan",Mark McLelland,First published in 2015
